[(-12, -12, -12), (-12, -12, -12), (9, 3, 0), (9, 3, 0), (-12, -12, -12), (-12, -12, -12)]
[(-12, -12, -12), (-12, -12, -12), (255, 224, 189), (255, 224, 189), (-12, -12, -12), (-12, -12, -12)]
[(-12, -12, -12), (-12, -12, -12), (255, 224, 189), (255, 224, 189), (-12, -12, -12), (-12, -12, -12)]
[(-12, -12, -12), (41, 98, 255), (13, 71, 161), (13, 71, 161), (41, 98, 255), (-12, -12, -12)]
[(13, 71, 161), (-12, -12, -12), (13, 71, 161), (13, 71, 161), (-12, -12, -12), (13, 71, 161)]
[(255, 219, 172), (-12, -12, -12), (41, 98, 255), (41, 98, 255), (-12, -12, -12), (255, 219, 172)]
[(-12, -12, -12), (255, 238, 88), (255, 238, 88), (255, 238, 88), (255, 238, 88), (-12, -12, -12)]
[(-12, -12, -12), (255, 238, 88), (255, 255, 0), (255, 255, 0), (255, 238, 88), (-12, -12, -12)]
[(-12, -12, -12), (62, 39, 35), (-12, -12, -12), (-12, -12, -12), (62, 39, 35), (-12, -12, -12)]
[(62, 39, 35), (31, 21, 19), (-12, -12, -12), (-12, -12, -12), (31, 21, 19), (62, 39, 35)]
